reviews,cleaned_reviews,label
"original as shown in advertisement.
good quality.
reliable.
thanks to seller",original shown advertisement good quality reliable thanks seller,1
"Same as shown in picture. Received same color, what I order. Good quality.
Packaging should be improved. Atleast cushion should be in box. ",shown picture received color order good quality packaging improved atleast cushion box,1
"comfortable, and very soft item, love it and my baby girl is so happy. highly recommend this product.",comfortable soft item love baby girl happy highly recommend product,1
it was packed well... same as shown ..i ordered pink and thank GOD i received in pink color....  very soft and good quality .. thanks..👍,packed well shown ordered pink thank god received pink color soft good quality thanks,1
for healthy Bady sitting space is less to sit... size is small for healthy baby... other wise stuff & product is very good & soft...,healthy body sitting space less cut size small healthy baby wise stuff product good soft,1
No doubt same as in the pic but just for 3-4 month's baby. well! I recommend this seller 🙂,doubt pic 3 4 month baby well recommend seller,1
comfortable but size is very small,comfortable size small,0
So haPpy to receive the parcel. Exactly same as shown💗,happy receive parcel exactly shown,1
Good product same as shown in pic 😊 recommended ,good product shown pic recommended,1
Quality was soo good just like shown in picture.,quality good like shown pictures,1
It so nice & I liked  it very much 😊,nice I liked much,1
"awsome love it .....
",awesome love,1
same as shown 👌,shown,0
The bay sofa is so comfortable n supporting. My baby love to sit n play. Very good stuff n thickly stuffed. Highly recommended ,baby sofa comfortable supporting baby love sit play good stuff thickly stuffed highly recommended,1
This is fantastic 👍. I love to the stuff and size. my baby is very comfortable with it. it is very good support to new food started babies. you must have to try this. Also I got the real thing what I've ordered.  thanks Daraz ❤️,fantastic love stuff size baby comfortable good support new food started babies must try also got real thing ordered thanks daraz,1
The sofa seat is very very small for my baby that he can't sit onit comfortably..  the shown size in picture is very large but received one is very very small ..kindly return it and refund me...,sofa seat small baby sit comfortably shown size picture large received one small kindly return refund,0
this is very small as compared to picture. material is good and colour is nice but it can only b used uptil 6  or 7 months. you should guide people truly specifically online.,small compared picture material good colour nice used 6 7 months guide people truly specifically online,1
Just as in the picture. Good design and quality. Suitable for children form two to four months.. Recommended.,picture good design quality suitable children two four months recommended,1
"As far quality is concerned, it is good not so bad but it is very very small... Not for normal babies.. May be for extremely small babies... But it is beautiful ",far quality concerned good bad small normal babies may extremely small babies beautiful,1
very GOod Quality and also same as in Photo and good Colour 😊 also fast service I'm satisfiEd ...,good quality also photo good colour also fast service get satisfied,1
product quality is good and same brand to show picture but it's soooo small size.. .. ,product quality good brand show picture soooo small size,0
"smaller in size and weight .....
baby ulat jaya hai monh k bull kindly mat lain ",smaller size weight baby ulat jaya month bull kindly may plain,1
small size as compared to others sold in the shops. and also it looks used/old,small size compared others sold shops also looks used old,0
same as shown in the picture.I like it and it is best for my girl.thank. u,shown picture I like best girl thank,1
"Good product with fast delivery 👍, suitable for at least 5 month old baby",good product fast delivery suitable least 5 month old baby,1
Awesome product same as shown in picture... But very samll in size.... ,awesome product shown picture small size,1
you must have to increase the width of this sofa so baby sit easily,must increase width sofa baby sit easily,1
it was very very small for my 5 month baby ..so order accordingly,small 5 month baby order accordingly,0
"very good thx daraz 
buht achi seat nikli hai same shown in pic",good daraz achi seat nikli shown pic,1
Beautiful same as shown in pic. Good quality fully satisfied ,beautiful shown pic good quality fully satisfied,1
amazing product this seat is so comfortable really good ,amazing product seat comfortable really good,1
i m not satisfied coz the seat is tore in back side,I satisfied seat torn back side,0
Very good quality.... fully satisfied with seller,good quality fully satisfied sellers,1
Very good quality.... fully satisfied with seller,good quality fully satisfied sellers,1
"nice thing to use.it support baby's back bone.
",nice thing use support baby back bone,1
easy to carry nd baby feels comfortable in it.,easy carry baby feels comfortable,1
Awesome product recommended same as picture,awesome product recommended picture,1
very good quality and same as mentioned....,good quality mentioned,1
it is vey comfortable .very good thing,comfortable good thing,1
Bohat achi item but packed very badly,bought item packed badly,-1
bht ache h I m happy thanx daraz😚😚,ache happy daraz,0
very nice as shown i like it thanks,nice shown I like thanks,1
its very beautiful and comfortable.,beautiful comfortable,1
really good product...100%satisfied,really good product 100 satisfied,1
Good quality recommended to others,good quality recommended others,1
beautiful but size is not perfect,beautiful size perfect,-1
bht achi quality ha thanks daraz,achieving quality thanks daraz,1
very good experience of shopping,good experience shopping,1
"good as shown in picture
like it",good shown pictures like,1
great same as shown in picture.,great shown pictures,1
Highly recommend. good quality ,highly recommend good quality,1
very soft cute thing for babies,soft cute thing babies,1
useless...jst waste of money..,useless waste money,-1
Too small and uncomfortable ,small uncomfortable,-1
same as shown picture nyc..,shown picture nyc,0
"Acha tha, value for money. ",makes value money,1
quality is good.satisfied,quality good satisfied,0
Very good and comfortable,good comfortable,1
exactly same love it ,exactly love,1
Nice.same as shown,nice shown,0
too much small,much small,0
"The box in which the product was packaged was not damaged, but when I opened the box and checked the product, the plastic container was already severely crushed.  This means that the seller intentionally sent me a product that was already damaged before it was sent.

So I will return this product to Daraz for a refund and I do not recommend buying products from this seller.",box product packaged damaged I opened box checked product plastic container already severely crushed means seller intentionally sent product already damaged sent return product data refund recommend buying products seller,-1
Thank you seller for such quality products. Came safely no damage at all. Really a great but i must say. Always love to buy from here. Satisfied to fullest.,thank sellers quality products came safely damage really great must say always love buy satisfied fullest,1
I m getting addicted to HIMALAYAN spices too good in terms of quantity n quality the best part is their shaker bottles which makes storage n usage easy price are also very economical thanks daraz ,I getting addicted himalayan spices good terms quantity quality best part shaker bottles makes storage usage easy price also economical thanks daraz,1
It is great in quality and quantity. The expiry  is also till may 2024. the aroma guarantees  the authenticity of the products  ,great quality quantity expiry also may 2024 aroma guarantees authenticity products,1
very good 😊 halde powder min use Kia he i am very happy for this perches Thanks 😊 daraz Happy shipping ,good halde powder min use kia happy perches thanks daraz happy shipping,1
Looks good haven't used yet but packaging seem sturdy and it hasn't spilled so kudos,looks good used yet packaging seems sturdy spilled kudos,1
best turmeric powder best selling thanks daraz,best turmeric powder best selling thanks daraz,1
"WBM's best turmeric powder with organic aroma.. Maximum pure with natural aroma and colour of termaric ...
Recommended",wbm best turmeric powder organic aroma maximum pure natural aroma colour termaric recommended,1
Turmeric powder is so good aap ke sare product buhat zaberdest hin I am happy Thanks Himalayan chef Thanks Daraz happy shopping👌👍,turmeric powder good share product zaberdest happy thanks himalayan chef thanks daraz happy shopping,1
Nice and premium quality!,nice premium quality,1
good product 👍 with nice container. recommended,good product nice container recommended,1
Good product highly recommend..,good products highly recommend,1
nive well taste thanx daraz ,nice well taste daraz,0
good but costly,good costly,0
Best quality products,best quality products,1
thanks 👍,thanks,1
acha haldi powder hy khalis lagta hy khushbu sy .bottle bhe bohat achee hy samajh nahi ata k ise beand ka phir lal mirch powder baykar kyun hy,acha haldi powder hundred khalis lagta hy khushbu say bottle bohat achee hy samajh nahi k ise brand ka phir la mirch powder baykar kyun hy,0
very good quality products by himalaya  chef and great packing,good quality products himalaya chefs great packing,1
"original but rates are high. 
quality not yet check . ",original rates high quality yet check,0
It's perfect what I wanted thanks,It perfect I wanted thanks,1
bht achi  quality hy thnx daraz,achieving quality daraz,0
Good with original paking ,good original packing,1
product quailty is best,product quality best,1
great recommended,great recommended,1
"The vegetables were  well packed 😍 and price is also reasonable🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
",vegetables well packed price also reasonably good quality low price shop inshallah thank daraz think seller keep good quality,1
The vegetable were  fresh 😍 and price is also reasonable🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 ,vegetable fresh price also reasonably good quality low price shop inshallah thank daraz think seller keep good quality,1
The vegetable were very fresh 😍 and price is also reasonable🥰 such a good wuality in low price💓 will shop again soon inshallah daraz is always best shop to place❤️ thank u daraz💗 thank u seller🥰,vegetables fresh price also reasonably good quality low price shop soon inshallah daraz always best shop place thank daraz thank seller,1
"good quality
nice packaging.good taste. bhttt mzy ki bani hy.😋
keep it up draz . ",good quality rice packaging good taste mazy ski bani keep draz,1
Fresh cauliflower delivered in the main bag without wraping them individually so they were a little damaged.,fresh cauliflower delivered main bag without wrapping individually little damaged,0
Gobi was really nice and clean. But there was too much of the stalk left with it so the useable part was not big enough as you would expect when buying 1kg Gobi from the market.,gobi really nice clean much stock left useable part big enough would expect buying 1 kg gobi market,1
"Gobhi achi hai. Gobhi k phool mix size k hain. Kuch chotay, aur kuch normal. Saray phool baray size k nhe. ",gobhi achi gobhi k school mix size k chain kuch chotay normal saray school baray size k,0
Good n fresh as always,good fresh always,1
"MASHA-ALLAH 💯% Fresh vegetables bijwaty hain Dfresh waly.
love it",mash fresh vegetables birthday chain fresh love,1
"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",vegetables received good condition stuff well packed fresh,1
The cabbage were not very fresh but dFresh sent me almost 2kg instead of the ordered 1kg so not taking down a star.,cabbage fresh refresh sent almost 2 kg instead ordered 1 kg taking star,0
cauliflower was fresh and cheap. there was no default in it. i loved ordering from dfresh d will love to do so in future. i would recommend it to all daraz customers .,cauliflower fresh cheap default loved ordering refresh love future would recommend daraz customers,1
ek dum fresh thanks dfresh seller,seek fresh thanks refresh seller,1
The vegetable did not appear very fresh but wasn't spoilt either.,vegetable appear fresh spoilt either,0
"Fresh vegetables.
On time delivered.
Reasonable Price..👍👍👍",fresh vegetables time delivered reasonable prices,0
fresh vegetables and great service with free delivery ,fresh vegetables great service free delivery,1
Fresh but little bit expensive then market ,fresh little bit expensive market,0
"good quality and very good service of delivery, good fresh vegetables",good quality good service delivery good fresh vegetables,1
Fresh vegetables at reasonable price. Dfresh is always recommended. ,fresh vegetables reasonable price afresh always recommended,1
It's spoiled. Very bad. You guys should skip that part of order if its not upto quality. Instead of sending it to customer. ,It spoiled bad guys skip part order upto quality instead sending customers,-1
"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",vegetables received good condition stuff well packed fresh,1
therr were 2 types of cauliflower and ordered te better one and this is what I got. not good. ,2 types cauliflower ordered better one I got good,0
"verr good service , excellent quality,  worth to order",good service excellent quality worth order,1
happy customer always🤗,happy customers always,1
Timely delivered. Superb quality. Thumbs up 👍 thanks daraz  happy customer 😁,timely delivered superb quality thumbs thanks dangerous happy customer,1
"fresh and good quality
thank you daraz",fresh good quality thank daraz,1
the cauliflower quality was poor. very unhappy with the product,cauliflower quality poor unhappy product,-1
Horrible stuff! ,horrible stuff,-1
good but costly,good costly,0
Fresh Products,fresh products,0
Now you are improving yourself 😉. keep it up👍,improving keep,1
Very bad ruined cauliflower,bad ruined cauliflower,-1
All good and fresh,good fresh,1
A1 as always ,a1 always,0
fresh,fresh,0
excellent vegetables and perfect quality thanks for the best experience of daraz shopping and highly recommend to all.,excellent vegetables perfect quality thanks best experience dress shopping highly recommend,1
"NOW A DAYS DARAZ IS A NAME OF CHEATING, VERY POOR QUALITY, LESS QUANTITY, VOUCHERS ARE EVER FRAUD, EXTREMELY LATE DELIVERY, NOT RECOMMENDED ",day data name creating poor quality less quantity vouchers every fraud extremely late delivery recommended,-1
excellent experience... used this option first time and it is simply great... no more visit to Sunday bazars.😀,excellent experience used option first time simply great visit sunny bazaars,1
Each & every item is under weight atleast 150 to 200 grams. This is really pathetic. Quality is satisfactory but weight is not accurate,every item weight atleast 150 200 grams really pathetic quality satisfactory weight accurate,0
All veggies and fruits were fresh and of good quality. this time cauliflower was perfect too. thnx dfresh. ,veggies fruits fresh good quality time cauliflower perfect fresh,1
Actually ordered it from the office and without lifting a finger my family got the veges and they were fresh and looked freak. couldn't take picture but highly recommended.,actually ordered office without lifting finger family got veggies fresh looked freak take pictures highly recommended,0
I was worried the Cauliflower will not be good after reading the reviews but DFresh team has proved those bad reviews wrong. I have received fresh Phool Gobhi ,I worried cauliflower good reading reviews refresh team proved bad reviews wrong received fresh phool growth,-1
"Unprofessional staff, delivery guys did not give a receipt and there was a quantity shortage. Daraz customer service is the worst I have ever witnessed. ",unprofessional staff delivery guys give receipt quantity shortage data customer service worst I ever witnessed,-1
"Quantity shortage in my order. Daraz is not doing anything about my complaint filed over 24h ago. I paid in advance, no receipt given with the order either. Horrible customer service.",quantity shortage order daraz anything complaint filed 24h ago paid advance receipt given order either horrible customer service,-1
"seller sent rotten vegetables, vegetables were rotten from outside as well. the seller responded after 2 days and matter took 2 weeks to resolved after involving daraz ",sellers said rotten vegetables vegetables rotten outside well seller responded 2 days matter took 2 weeks resolved involving daraz,-1
Its very disappointed 2 Kg gobi mangwai thi chota sa adha kilo ka phool bej diya ha very bad very poor service and  very disheartening ,disappointed 2 kg gobi mangwai thi chota sa adha kilo ka phool bej diya bad poor service disheartening,-1
everything was of good quality and properly packed when delivered. Thank You Dear Team ,everything good quality properly packed delivered thank dear team,1
"very good and fresh vagitable ,good experience with daraz ,satisfied home delivery.",good fresh vegetable good experience daraz satisfied home delivery,1
BEST QUALITY AND RIGHT ON TIME. MUST ENJOY. IM A REGULAR Buyer of this store.,best quality right time must enjoy regular buyer store,1
"Always finds good and fresh products, recommended dFresh 👍

Thank U DarazPk",always finds good fresh products recommended fresh thank darazpk,1
fresh vegetables but two days for deliver fresh items is too much,fresh vegetables two days delivery fresh items much,1
Excellent and fresh as always highly recommended dMart Lahore 😊,excellent fresh always highly recommended smart lahore,1
"dMart is superb, quality of products is excellent keep it up 👍",smart superb quality products excellent keep,1
Great experience. fresh veggies. love it . surely order again.,great experience fresh veggies love surely order,1
Zabrdas... Fresh... Fine rates also have delivered on time,cabbies fresh fine rates also delivered time,0
"Very Fesh will order again , Thanks Daraz. Thanks Dfresh",fresh order thanks daraz thanks fresh,1
item was fresh as described. highly recommended seller. ,item fresh described highly recommended seller,1
"As usual top quality n fresh thumbs up 👍 
satisfied ",usual top quality fresh thumbs satisfied,1
i ordered 2kg cauliflower but receive onli 1 kg!!!,I ordered 2 kg cauliflower received 1 kg,0
good sized and quickly delivered. thank you daraz,good sized quickly delivered thank daraz,1
Nice n fresh. Surprisingly cheaper than market. ,nice fresh surprisingly cheaper market,1
Very good quality cauliflower delivered again ,good quality cauliflower delivered,1
i was delivered cabbage instead of cauliflower,I delivered cabbage instead cauliflower,0
Quality is good and fresh item was delivered.,quality good fresh item delivered,1
fresh next day delivery.seller recommended,fresh next day delivery sellers recommended,1
Delivery boy was rude otherwise all good.,delivery boy rude otherwise good,0
fresh and clean highly recommend to all,fresh clean highly recommend,1
very good and fresh from dfresh ..... ,good fresh fresh,1
Cauliflower was fresh and well packed ,cauliflower fresh well packed,1
good and fresh product from dfresh ,good fresh produce fresh,1
Very good Nd fresh product fresh,good fresh produce fresh,1
Excellent experience with dfresh,excellent experience refresh,1
smaller in size over all great,smaller size great,1
Fresh vegetables... Thnk you,fresh vegetables thank,0
"It was good, upto the mark.",good upto mark,1
good very expensive ,good expensive,1
very good product ,good product,1
fresh and premium,fresh premium,0
Very bad quality ,bad quality,-1
fresh as always,fresh always,0
fresh as always,fresh always,0
Fresh items on ,fresh items,0
Fresh and Best,fresh best,1
Good product ,good product,1
best product ,best product,1
Good quality ,good quality,1
Good quality,good quality,1
not fresh,fresh,0
Fresh. ,fresh,0
Fresh,fresh,0
fresh,fresh,0
same as shown in picture. nice product. highly recommend. packing was a bit poor. they rapped it in a cling foil,shown picture nice products highly recommend packing bit poor wrapped cling foil,1
Same as shown in picture totally loved it will shop again inshallah☺,shown pictures totally loved show inshallah,1
"shipping on time.i order red,black and white stripe baby floor seat but receive different .also very small in size.my 4month baby fit very difficult on it.",shipping time order red black white striped baby floor seats receive different also small size 4month baby fit difficult,0
"Good material,buhat zaberdast item hai.but send me wrong color 😑",good material zaberdast item send wrong color,0
Same as shown in the picture satisfied thank you daraz recommended saller,shown picture satisfied thank daraz recommended seller,1
beautiful and comfortable,beautiful comfortable,1
quality is superb with reasonable price satisfied,quality superb reasonable price satisfied,1
Product is good 👍 for 8 Month old kid,product good 8 month old kid,1
Material is good but not good for baby of any age because baby will get too much tired. Seat posture should be relaxing.,material good good babies age baby get much tired seat posture relaxing,1
i ordered red and black with white strip and they send me red and brown totally unfair.. not recommended,I ordered red black white strip send red brown totally unfair recommended,0
product is not as shown in picture. i received pink and brown color but i had ordered black and red. packing b theek nai thi jis ki waja sy item deshape ho gai hy.. ,product shown pictures received pink brown color ordered black red packing three nai thi jis ski waja item described gai,0
"GOOD QUALITY SAME AS SHOWN IN PICTURE
VERY COMFORTABLE ONTIME DELIVERY 
THANKS SELLER & DARAZ",good quality shown picture comfortable noontime delivery thanks seller daraz,1
Too small in size for 4 months baby boy n uncomfortable ... Size should be mentioned,small size 4 months baby boy uncomfortable size mentioned,-1
"Pathetic Service
I order 2 pieces and they delever only 1 piece and charge for 2",pathetic service order 2 pieces deliver 1 piece charge 2,-1
fantastic really nice stuff and my baby enjoy a lot thank you,fantastic really nice stuff baby enjoy lot thank,1
"nice product, exactly same as shown n delivered on time",nice products exactly shown delivered time,1
Both seats are of good quality worth buying. ,seats good quality worth buying,1
"same as recommend, gud quality & stuff,.. ",recommend good quality stuff,1
Good quality product our kid loves it.,good quality product kid loves,1
Same as picture... Recommended,picture recommended,0
"seller has displayed picture of instant porridge but sent raw porridge neither shown in picture nor description, useless, returned",seller displayed pictures instant porridge sent raw porridge neither shown picture description useless returned,1
Very good seller and best product. ,good seller best product,1
pure product delivery in time,pure product delivery time,0
It's two weeks I ordered this but it's still fresh.Very good.,two weeks ordered still fresh good,1
This is my first time buying  red bell peppers so I guess by the size they must be great on the inside too,first time buying red bell peppers guess size must great inside,1
"Very fresh veggies regular customer of.daraz day fresh very happy and satisfied thc.daraz
",fresh veggies regular customers daraz day fresh happy satisfied daraz,1
Marvellous vegetables medium in size I liked it very much,marvellous vegetables medium size I liked much,1
A pretty expensive product but the picture shows bright red and what I got was brownish nothing of red bell pepper . Very disappointed from Daraz  ,pretty expensive product picture shows bright red I got brownish nothing red bell pepper disappointed daraz,0
I ordered fruits and vegetables two days ago. I received the order but of a very low standard. Mr Wahab delivered the order. Kiwi are all stale Oranges ordered were not red blood and very expensive Rs 425 per dozen. I think some one else is using your name. The delivery was in plastic bags and a dirty plastic boree. Totally disappointed ,I ordered fruits vegetables two days ago received order low standard wahab delivered order kiwi staple oranges ordered red blood expensive 425 per dozen think one else using name delivery plastic bags dirty plastic bore totally disappointed,-1
"Just as described, thank you!",described thank,1
Good quality and fresh ,good quality fresh,1
super fresh as always,super fresh always,1
recieved really fresh,received really fresh,1
Super fresh and yummy,super fresh yummy,1
I love the pepper,I love pepper,1
cheap message,cheap message,0
Train quality is perfect in this price bracket.. 👌👌,train quality perfect price bracket,1
Delivery was quick but packing was not Upto the mark. Anyways nice experience from the seller. ,delivery quick packing upto mark anyways nice experience seller,1
Received within estimated delivery timeline in a safe packaging. Product is original and got it in less than market price. Habib oil is the name of quality.,received within estimated delivery timeline safe packaging product original got less market price cabin oil name quality,1
Delivery was quick but packing was not upto the mark. Anyways nice experience from the seller.,delivery quick packing upto mark anyways nice experience seller,1
All okay. No problem at all. I purchased it for 1215 and received free home shipping also.,okay problem I purchased 1215 received free home shipping also,0
very good quality oil fast shipping great service,good quality oil fast shipping great service,1
"Arrived in perfect condition, original product , good packaging.
Thanks dMart!",arrived perfect condition original product good packaging thanks smart,1
Purchased 2 packs in 12 12 sales with delivery charges free and payment discount on Rs 1040/- each. Received original and in fresh expire.. Thanku Daraz.,purchased 2 packs 12 12 sales delivery charges free payment discount 1040 received original fresh expire thanks data,1
"Good quality, original products but the main thing i that i still haven't received my cashback 🙁, hope DARAZ will do it asap.",good quality original products main thing still received cashback hope data asap,1
